assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date
GCA_000762265.1,PRJNA49593,SAMN03085433,,na,2162,2162,Methanobacterium formicicum,strain=BRM9,,latest,Complete Genome,Major,Full,02/10/2014,ASM76226v1,PGgRc,GCF_000762265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/265/GCA_000762265.1_ASM76226v1,,,na
GCA_000953115.1,PRJEB7090,SAMEA2724982,,na,2162,2162,Methanobacterium formicicum,,,latest,Complete Genome,Major,Full,10/09/2014,DSM1535,CEBITEC,GCF_000953115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535,contaminated,,na
GCA_001458655.1,PRJEB7298,SAMEA2779801,,representative genome,2162,2162,Methanobacterium formicicum,,Mb9,latest,Complete Genome,Major,Full,16/11/2015,Mb9,CEBITEC,GCF_001458655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9,,,na
GCA_002813085.1,PRJNA350240,SAMN05935551,,na,2173,2173,Methanobrevibacter smithii,strain=KB11,,latest,Complete Genome,Major,Full,06/12/2017,ASM281308v1,KRIBB,GCF_002813085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/085/GCA_002813085.1_ASM281308v1,,,na
GCA_022846155.1,PRJDB11902,SAMD00389909,,na,2173,2173,Methanobrevibacter smithii,strain=CE91-St67,,latest,Complete Genome,Major,Full,04/02/2022,ASM2284615v1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",GCF_022846155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/155/GCA_022846155.1_ASM2284615v1,,,na
GCA_022846175.1,PRJDB11902,SAMD00389910,,na,2173,2173,Methanobrevibacter smithii,strain=CE91-St68,,latest,Complete Genome,Major,Full,04/02/2022,ASM2284617v1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",GCF_022846175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/175/GCA_022846175.1_ASM2284617v1,,,na
GCA_001889405.1,PRJNA342410,SAMN05756399,,representative genome,2177,2177,Methanohalophilus halophilus,strain=Z-7982,,latest,Complete Genome,Major,Full,06/12/2016,ASM188940v1,UBO,GCF_001889405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/405/GCA_001889405.1_ASM188940v1,,assembly from type material,na
GCA_026684035.1,PRJNA905568,SAMN31875339,,representative genome,2199,2199,Methanogenium organophilum,strain=DSM 3596,,latest,Complete Genome,Major,Full,06/12/2022,ASM2668403v1,National Chung Hsing University,GCF_026684035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/684/035/GCA_026684035.1_ASM2668403v1,,assembly from type material,na
GCA_019263745.1,PRJNA739174,SAMN19775401,,na,2203,2203,Methanospirillum hungatei,strain=GP1,,latest,Complete Genome,Major,Full,16/07/2021,ASM1926374v1,University of Minnesota,GCF_019263745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/263/745/GCA_019263745.1_ASM1926374v1,,,na
GCA_010706455.1,PRJNA557089,SAMN12565415,,na,2209,2209,Methanosarcina mazei,strain=zm-15,,latest,Complete Genome,Major,Full,18/02/2020,ASM1070645v1,Peking University,GCF_010706455.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/706/455/GCA_010706455.1_ASM1070645v1,,,na
