assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,OGT,predicted_OGT
GCA_009729015.1,PRJNA488459,SAMN09933089,na,representative genome,2283,2283,Acidianus ambivalens,strain=LEI 10,na,latest,Complete Genome,Major,Full,04/12/2019,ASM972901v1,North Carolina State University,GCF_009729015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/015/GCA_009729015.1_ASM972901v1,na,assembly from type material,na,haploid,archaea,2252027,2252027,34,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/22/19,2605,2373,52,na,80,76.37
GCA_003201835.2,PRJNA463410,SAMN09071529,na,representative genome,41673,41673,Acidianus brierleyi,strain=DSM 1651,na,latest,Complete Genome,Major,Full,10/03/2020,ASM320183v2,North Carolina State University,GCF_003201835.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/835/GCA_003201835.2_ASM320183v2,na,assembly from type material,na,haploid,archaea,2947244,2947244,31.5,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/23/19,3148,2871,51,na,72,68.73
GCA_003201765.2,PRJNA463410,SAMN09071530,na,representative genome,619593,312539,Acidianus sulfidivorans JP7,strain=JP7,na,latest,Complete Genome,Major,Full,10/03/2020,ASM320176v2,North Carolina State University,GCF_003201765.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/765/GCA_003201765.2_ASM320176v2,na,assembly from type material,na,haploid,archaea,2265309,2265309,31,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/23/19,2339,2259,51,na,70,67.92
GCA_000144915.1,PRJNA39927,SAMN02603091,na,representative genome,666510,242703,Acidilobus saccharovorans 345-15,strain=345-15,na,latest,Complete Genome,Major,Full,06/08/2010,ASM14491v1,Centre Bioengineering RAS,GCF_000144915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/915/GCA_000144915.1_ASM14491v1,na,assembly from type material,na,haploid,archaea,1496453,1496453,57,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,06/25/15,1551,1499,48,20581186,80,74.71
GCA_000025665.1,PRJNA38403,SAMN02598523,na,na,439481,379547,Aciduliprofundum boonei T469,strain=T469,na,latest,Complete Genome,Major,Full,24/02/2010,ASM2566v1,US DOE Joint Genome Institute,GCF_000025665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1,na,na,na,haploid,archaea,1486778,1486778,39,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,1587,1544,37,na,70,74.7
GCA_000591035.1,PRJDB107,SAMD00061006,na,representative genome,1198449,229980,Aeropyrum camini SY1 = JCM 12091,strain=SY1,na,latest,Complete Genome,Major,Full,27/09/2013,ASM59103v1,"Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University",GCF_000591035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/591/035/GCA_000591035.1_ASM59103v1,na,assembly from type material,na,haploid,archaea,1595994,1595994,56.5,1,1,1,"Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University","Annotation submitted by Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University",10/07/2016,1695,1645,50,23872576,85,98.52
GCA_000011125.1,PRJNA211,SAMD00061092,na,representative genome,272557,56636,Aeropyrum pernix K1,strain=K1,na,latest,Complete Genome,Major,Full,11/10/2006,ASM1112v1,NITE,GCF_000011125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1,na,assembly from type material,na,haploid,archaea,1669696,1669696,56,1,1,1,NITE,Annotation submitted by NITE,10/08/2016,1752,1700,52,10382966;16455681;16769697,90,98.99
GCA_000008665.1,PRJNA104,SAMN02603985,na,na,224325,2234,Archaeoglobus fulgidus DSM 4304,strain=DSM 4304,na,latest,Complete Genome,Major,Full,22/12/1999,ASM866v1,TIGR,GCF_000008665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/665/GCA_000008665.1_ASM866v1,na,assembly from type material,na,haploid,archaea,2178400,2178400,48.5,1,1,1,TIGR,Annotation submitted by TIGR,01/31/14,2486,2407,49,9389475,81,83.9
GCA_000734035.1,PRJNA208006,SAMN03081472,na,representative genome,1344584,2234,Archaeoglobus fulgidus DSM 8774,strain=DSM 8774,na,latest,Complete Genome,Major,Full,28/07/2014,ASM73403v1,University Bergen,GCF_000734035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/035/GCA_000734035.1_ASM73403v1,na,na,na,haploid,archaea,2316287,2316287,48,1,1,1,University Bergen,Annotation submitted by University Bergen,10/01/2014,2657,2557,56,na,81,86.12
GCA_000025285.1,PRJNA32583,SAMN00017459,na,representative genome,572546,84156,Archaeoglobus profundus DSM 5631,strain=DSM 5631,na,latest,Complete Genome,Major,Full,19/01/2010,ASM2528v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1,na,assembly from type material,na,haploid,archaea,1563423,1563423,42,2,2,2,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/25/16,1911,1823,53,21304717,85,94.11
