assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_000018105.1,PRJNA12997,SAMN02604308,,representative genome,329726,155978,Acaryochloris marina MBIC11017,strain=MBIC11017,,latest,Complete Genome,Major,Full,16/10/2007,ASM1810v1,Washington University,GCF_000018105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/105/GCA_000018105.1_ASM1810v1,,assembly from type material,na,20,29.44,0.06032,0.0644,0.02858,0.01539,0.05211,0.05791,0.11022,0.0829,0.03741,0.05259,0.01118,0.06049,0.0673,0.02242,0.04322,0.02014,0.03889,0.05055,0.06611,0.05786,0,0,0,0,0,0,0
GCA_018336915.1,PRJNA649288,SAMN15662376,,na,2762553,155978,Acaryochloris marina S15,strain=S15,,latest,Complete Genome,Major,Full,11/05/2021,ASM1833691v1,University of Montana,GCF_018336915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/915/GCA_018336915.1_ASM1833691v1,,,na,20,29.13,0.06047,0.06499,0.02806,0.01522,0.05073,0.05794,0.11121,0.08385,0.03645,0.05295,0.01084,0.06187,0.06763,0.02226,0.04253,0.01973,0.03848,0.05069,0.0661,0.05801,0,0,0,0,0,0,0
GCA_024347835.1,PRJDB13468,SAMD00467986,,na,2954813,155978,Acaryochloris marina MBIC10699,strain=MBIC10699,,latest,Complete Genome,Major,Full,08/07/2022,ASM2434783v1,Nagoya University,GCF_024347835.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/347/835/GCA_024347835.1_ASM2434783v1,,,na,20,29.47,0.05992,0.06489,0.02865,0.0153,0.05189,0.05819,0.11013,0.08408,0.03708,0.05315,0.0108,0.06105,0.06775,0.02228,0.04256,0.01981,0.03859,0.05058,0.06521,0.05807,0,0,0,0,0,0,0
GCA_000193495.2,PRJDA52649,SAMD00036545,,na,887700,435,Acetobacter aceti NBRC 14818,strain=NBRC 14818,,latest,Complete Genome,Major,Full,02/09/2020,ASM19349v2,The University of Tokyo,GCF_000193495.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/495/GCA_000193495.2_ASM19349v2,,assembly from type material,na,27,27.77,0.05186,0.0728,0.02216,0.01407,0.06868,0.05522,0.10237,0.11202,0.02822,0.05543,0.01019,0.03329,0.0826,0.02281,0.0331,0.02553,0.03643,0.0533,0.06187,0.05807,0,0,0,0,0,0,0
GCA_001499615.1,PRJEB7128,SAMEA2738517,,representative genome,446692,446692,Acetobacter senegalensis,strain=108B,,latest,Complete Genome,Major,Full,03/01/2016,Acetobacter senegalensis 108B,Vrije Universiteit Brussel,GCF_001499615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/499/615/GCA_001499615.1_Acetobacter_senegalensis_108B,,,na,35,19.53,0.04868,0.07103,0.02401,0.0146,0.06632,0.05167,0.10206,0.11475,0.02917,0.05278,0.01055,0.03789,0.08138,0.02426,0.03452,0.02521,0.03647,0.05551,0.06006,0.05907,0,0,0,0,0,0,0
GCA_000550765.1,PRJNA190024,SAMN03081456,,na,1296990,28448,Komagataeibacter xylinus E25,strain=E25,,latest,Complete Genome,Major,Full,05/02/2014,ASM55076v1,Genomed SA,GCF_000550765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/550/765/GCA_000550765.1_ASM55076v1,,,na,28,24.31,0.04961,0.07318,0.02259,0.01463,0.07734,0.04668,0.09943,0.12154,0.02555,0.05695,0.01101,0.03416,0.08664,0.02655,0.02433,0.0294,0.03356,0.05736,0.0527,0.05678,0,0,0,0,0,0,0
GCA_000763575.1,PRJNA257042,SAMN02947172,,representative genome,2325,2325,Thermoanaerobacter kivui,strain=DSM 2030; LKT-1,,latest,Complete Genome,Major,Full,06/10/2014,ASM76357v1,"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory",GCF_000763575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/763/575/GCA_000763575.1_ASM76357v1,,assembly from type material,na,60,64.24,0.09481,0.07265,0.04078,0.00743,0.03945,0.07782,0.09313,0.06294,0.04927,0.05228,0.00889,0.02508,0.06708,0.01455,0.0902,0.02568,0.04298,0.03434,0.05382,0.04681,0,0,0,0,0,0,0
GCA_000266925.1,PRJNA53351,SAMN02261375,,representative genome,891968,97477,Acetomicrobium mobile DSM 13181,strain=DSM 13181,,latest,Complete Genome,Major,Full,12/06/2012,ASM26692v1,JGI,GCF_000266925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/266/925/GCA_000266925.1_ASM26692v1,,assembly from type material,na,55,57.33,0.07109,0.0777,0.03066,0.01185,0.0537,0.06892,0.10479,0.08216,0.03264,0.05357,0.01339,0.02558,0.07913,0.01742,0.06153,0.02821,0.04064,0.04347,0.05971,0.04383,0,0,0,1.00E-05,0,0,0
GCA_000953195.1,PRJEB6255,SAMEA2522063,,na,35623,35623,Acholeplasma oculi,,,latest,Complete Genome,Major,Full,02/06/2014,Acholeplasma oculi strain 19L,MPIMG,GCF_000953195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/195/GCA_000953195.1_Acholeplasma_oculi_strain_19L,missing strain identifier,,na,35,51.04,0.09108,0.06593,0.04702,0.00752,0.03362,0.06489,0.10194,0.05321,0.05406,0.05846,0.00409,0.03399,0.05876,0.02117,0.07855,0.02586,0.05016,0.03064,0.06262,0.05645,0,0,0,0,0,0,0
GCA_001971645.1,PRJNA358463,SAMN06174288,,na,217204,217204,Achromobacter insolitus,strain=DSM 23807,,latest,Complete Genome,Major,Full,26/01/2017,ASM197164v1,Rice and Sorghum Research Institute,GCF_001971645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/645/GCA_001971645.1_ASM197164v1,,assembly from type material,na,33,29.25,0.04481,0.07581,0.02468,0.01416,0.07033,0.05048,0.10847,0.13125,0.02626,0.05316,0.00896,0.03862,0.08598,0.02091,0.02939,0.02526,0.03355,0.05321,0.05428,0.05042,0,0,0,0,0,0,0
GCA_003994415.1,PRJNA511771,SAMN10643443,,na,217203,217203,Achromobacter spanius,strain=UQ283,,latest,Complete Genome,Major,Full,05/01/2019,ASM399441v1,University of Queensland,GCF_003994415.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/415/GCA_003994415.1_ASM399441v1,,,na,32,25.6,0.04509,0.07656,0.02426,0.0144,0.06909,0.04905,0.10638,0.12824,0.02725,0.0551,0.00886,0.03979,0.08381,0.02154,0.03046,0.0254,0.03368,0.05319,0.0548,0.05303,0,0,0,0,0,0,0
